,Matchid,Players_1,Players_2,Players_3,Players_4,Players_5,Players_6,Players_7,Players_8,Players_9,Players_10,Players_11,Players_12,Players_13,Players_14,Players_15,Players_16,Players_17,Players_18,Players_19,Players_20,Players_21,Players_22,,Runs_1,Over_1
43,1026851,TP Ura,VV Morea,L Siaka,A Vala,S Bau,D Bau,MD Dai,CA Soper,H Hiri,N Vanua,JB Reva,C Carter,KD Shah,Babar Hayat,Nizakat Khan,Anshuman Rath,Nadeem Ahmed,Tanwir Afzal,Aizaz Khan,Ehsan Khan,-,-,,-,-
44,1027315,JJ Roy,SW Billings,JE Root,EJG Morgan,JC Buttler,BA Stokes,MM Ali,CR Woakes,ST Finn,LE Plunkett,AU Rashid,KC Brathwaite,E Lewis,KOA Powell,SD Hope,JN Mohammed,JL Carter,JO Holder,CR Brathwaite,AR Nurse,D Bishoo,ST Gabriel,,-,-
45,1027317,KC Brathwaite,E Lewis,KOA Powell,SD Hope,JN Mohammed,JL Carter,JO Holder,CR Brathwaite,AR Nurse,ST Gabriel,D Bishoo,JJ Roy,SW Billings,JE Root,EJG Morgan,BA Stokes,JC Buttler,MM Ali,CR Woakes,ST Finn,LE Plunkett,AU Rashid,,22,5.2
46,1027319,JJ Roy,AD Hales,JE Root,JC Buttler,EJG Morgan,BA Stokes,MM Ali,CR Woakes,LE Plunkett,AU Rashid,ST Finn,KOA Powell,KC Brathwaite,E Lewis,SD Hope,JN Mohammed,JL Carter,JO Holder,CR Brathwaite,AR Nurse,D Bishoo,AS Joseph,,-,-
47,1029001,EC Joyce,PR Stirling,WTS Porterfield,A Balbirnie,NJ O'Brien,GC Wilson,KJ O'Brien,SR Thompson,GH Dockrell,TJ Murtagh,PKD Chase,JJ Roy,JE Root,AD Hales,EJG Morgan,JM Bairstow,DJ Willey,MA Wood,JT Ball,LE Plunkett,AU Rashid,-,,-,-
48,1029003,JJ Roy,AD Hales,JE Root,EJG Morgan,JM Bairstow,SW Billings,AU Rashid,DJ Willey,MA Wood,JT Ball,LE Plunkett,EC Joyce,PR Stirling,WTS Porterfield,A Balbirnie,NJ O'Brien,GC Wilson,KJ O'Brien,GH Dockrell,BJ McCarthy,TJ Murtagh,PKD Chase,,-,-
49,1029819,JJ Roy,JM Vince,BM Duckett,JM Bairstow,BA Stokes,JC Buttler,MM Ali,CR Woakes,DJ Willey,JT Ball,AU Rashid,Tamim Iqbal,Imrul Kayes,Sabbir Rahman,Mahmudullah,Mushfiqur Rahim,Shakib Al Hasan,Mosaddek Hossain,Mashrafe Mortaza,Mosharraf Hossain,Shafiul Islam,Taskin Ahmed,,-,-
50,1029821,Tamim Iqbal,Imrul Kayes,Sabbir Rahman,Mahmudullah,Mushfiqur Rahim,Shakib Al Hasan,Mosaddek Hossain,Nasir Hossain,Mashrafe Mortaza,Shafiul Islam,Taskin Ahmed,JJ Roy,JM Vince,BM Duckett,JM Bairstow,BA Stokes,JC Buttler,MM Ali,CR Woakes,AU Rashid,DJ Willey,JT Ball,,-,-
51,1029823,Tamim Iqbal,Imrul Kayes,Sabbir Rahman,Mahmudullah,Mushfiqur Rahim,Shakib Al Hasan,Nasir Hossain,Mosaddek Hossain,Mashrafe Mortaza,Shafiul Islam,Taskin Ahmed,JM Vince,SW Billings,BM Duckett,JM Bairstow,BA Stokes,JC Buttler,MM Ali,CR Woakes,JT Ball,LE Plunkett,AU Rashid,,-,-
52,1030219,MJ Guptill,TWM Latham,KS Williamson,LRPL Taylor,CJ Anderson,L Ronchi,JDS Neesham,MJ Santner,DAJ Bracewell,TG Southee,IS Sodhi,RG Sharma,AM Rahane,V Kohli,MK Pandey,MS Dhoni,KM Jadhav,UT Yadav,HH Pandya,JJ Bumrah,AR Patel,A Mishra,,-,-
